0 c.name;1 c.surname;2 c.ak;3  c.birthdate;4 p.name;5 p.surname;6 p.ak;7 p.email;8 p.phone;9 p.address;10 a.surname;11 a.name;12 a.ak;13 a.phone;14 a.email;15 a.address
Mečius;Baltrimas;51911151092;2019-11-15;Emis;Baltrimas;38811151092;user108@user.lt;+37060000108;"Ilgiausia g. 108, Vilnius";Baltrimė;Oktavija;49104120108;862000108;parent108@parent.lt;"Ilgiausia g. 108, Vilnius"
Eivis;Bautaitis;51911151070;2019-11-15;Viktoras;Bautaitis;38811151070;user109@user.lt;+37060000109;"Ilgiausia g. 109, Vilnius";Baitaitė;Jurgė;49104120109;862000109;parent109@parent.lt;"Ilgiausia g. 109, Vilnius"
Zene;Macinavičaitė;61912151119;2019-12-15;Ida;Macinavičaitė;49812151119;user110@user.lt;+37060000110;"Ilgiausia g. 110, Vilnius";Macinavičius;Rufina;49104120110;862000110;parent110@parent.lt;"Ilgiausia g. 110, Vilnius"
Laisvida;Kalickytė;61912151196;2019-12-15;Chabronija;Kalickytė;49812151196;user111@user.lt;+37060000111;"Ilgiausia g. 111, Vilnius";Kalicka;Tadas;38903150111;862000111;parent111@parent.lt;"Ilgiausia g. 111, Vilnius"
Janislava;Kurpavičytė;61912151185;2019-12-15;Ksavera;Kurpavičytė;49812151185;user112@user.lt;+37060000112;"Ilgiausia g. 112, Vilnius";Kurpavičius;Rimvydas;38903150112;862000112;parent112@parent.lt;"Ilgiausia g. 112, Vilnius"
Verdženija;Muntrimaitė;61912151163;2019-12-15;Ala;Muntrimaitė;49812151163;user113@user.lt;+37060000113;"Ilgiausia g. 113, Vilnius";Muntrimas;Arvydas;38903150113;862000113;parent113@parent.lt;"Ilgiausia g. 113, Vilnius"
Bytautė;Šmeigauskaitė;61912151130;2019-12-15;Birutėlė;Šmeigauskaitė;49812151130;user114@user.lt;+37060000114;"Ilgiausia g. 114, Vilnius";Šmeigauskas;Mantas;38903150114;862000114;parent114@parent.lt;"Ilgiausia g. 114, Vilnius"
Tolminė;Grakovičaitė;61912151108;2019-12-15;Juozapė;Grakovičaitė;49812151108;user115@user.lt;+37060000115;"Ilgiausia g. 115, Vilnius";Grakovičius;Vidmantas;38903150115;862000115;parent115@parent.lt;"Ilgiausia g. 115, Vilnius"
Uljanija;Paresčiūtė;61912151141;2019-12-15;Norgilė;Paresčiūtė;49812151141;user116@user.lt;+37060000116;"Ilgiausia g. 116, Vilnius";Paresčius;Aurimas;38903150116;862000116;parent116@parent.lt;"Ilgiausia g. 116, Vilnius"
Oktavija;Tumiūtė;61912151126;2019-12-15;Virgailė;Tumiūtė;49812151126;user117@user.lt;+37060000117;"Ilgiausia g. 117, Vilnius";Tumius;Rimgaudas;38903150117;862000117;parent117@parent.lt;"Ilgiausia g. 117, Vilnius"
Jurgė;Brunytė;61912151174;2019-12-15;Alvida;Brunytė;49812151174;user118@user.lt;+37060000118;"Ilgiausia g. 118, Vilnius";Brunius;Jogirdas;38903150118;862000118;parent118@parent.lt;"Ilgiausia g. 118, Vilnius"
Rufina;Kubaitė;61912151152;2019-12-15;Erna;Kubaitė;49812151152;user119@user.lt;+37060000119;"Ilgiausia g. 119, Vilnius";Kubaitis;Vicius;38903150119;862000119;parent119@parent.lt;"Ilgiausia g. 119, Vilnius"
Adelbertas;Ringelevičius;52001260002;2020-01-26;Vidymantas;Riekašius;38601150093;user1@user.lt;+37060000001;"Ilgiausia g. 1, Vilnius";;;;;;
Fulgis;Vančys;52001260013;2020-01-26;Gytautas;Vėlius;38601150016;user2@user.lt;+37060000002;"Ilgiausia g. 2, Vilnius";;;;;;
Tautvaldas;Kerelis;52001260024;2020-01-26;Pilėnas;Subelis;38601150060;user3@user.lt;+37060000003;"Ilgiausia g. 3, Vilnius";;;;;;
Apolinarij;Ščerba;52001260035;2020-01-26;Vaigydas;Žaudzevičius;38601150038;user4@user.lt;+37060000004;"Ilgiausia g. 4, Vilnius";;;;;;
Erminijus;Šmičius;52001260046;2020-01-26;Milgedas;Jakubielskas;38601150049;user5@user.lt;+37060000005;"Ilgiausia g. 5, Vilnius";;;;;;
Norijus;Vaišas;52001260057;2020-01-26;Ignnatijus;Būtvilas;38601150005;user6@user.lt;+37060000006;"Ilgiausia g. 6, Vilnius";;;;;;
Vytartas;Žvelgynas;52001260068;2020-01-26;Lengvinas;Vaišnoris;38601150053;user7@user.lt;+37060000007;"Ilgiausia g. 7, Vilnius";;;;;;
Liūtas;Drabickas;52001260079;2020-01-26;Getautas;Bloškys;38601150027;user8@user.lt;+37060000008;"Ilgiausia g. 8, Vilnius";;;;;;
Bertas;Sirbikas;52001260083;2020-01-26;Voldis;Daukantis;38601150071;user9@user.lt;+37060000009;"Ilgiausia g. 9, Vilnius";;;;;;
Apolionas;Grudzinas;52001260090;2020-01-26;Varonika;Žitinskytė;49402150113;user10@user.lt;+37060000010;"Ilgiausia g. 10, Vilnius";;;;;;
Jokūb;Kraskus;52001260100;2020-01-26;Balanda;Gazevičytė;49402150120;user11@user.lt;+37060000011;"Ilgiausia g. 11, Vilnius";;;;;;
Akvilas;Kvičius;52001260111;2020-01-26;Zigfrida;Gecaitė;49402150131;user12@user.lt;+37060000012;"Ilgiausia g. 12, Vilnius";;;;;;
Linartas;Voitonis;52001260122;2020-01-26;Dija;Kmiliauskaitė;49402150109;user13@user.lt;+37060000013;"Ilgiausia g. 13, Vilnius";;;;;;
Alvaras;Galvinys;52001260133;2020-01-26;Vince;Paraknavičytė;49402150175;user14@user.lt;+37060000014;"Ilgiausia g. 14, Vilnius";;;;;;
Virgandas;Madastavičius;52001260144;2020-01-26;Jautrė;Norvilovytė;49402150186;user15@user.lt;+37060000015;"Ilgiausia g. 15, Vilnius";;;;;;
Norgailas;Sejonas;52001260155;2020-01-26;Terėsė;Kratavičaitė;49402150153;user16@user.lt;+37060000016;"Ilgiausia g. 16, Vilnius";;;;;;
Aušmantas;Astauskas;52001260166;2020-01-26;Jurgita;Čiegiūtė;49402150142;user17@user.lt;+37060000017;"Ilgiausia g. 17, Vilnius";;;;;;
Klimentas;Zapleckas;52001260177;2020-01-26;Gertruda;Pipeniūtė;49402150164;user18@user.lt;+37060000018;"Ilgiausia g. 18, Vilnius";;;;;;
Vydaugas;Juodgalvis;52001260188;2020-01-26;Arvina;Aniukevičiūtė;49402150197;user19@user.lt;+37060000019;"Ilgiausia g. 19, Vilnius";;;;;;
Demetris;Kubertas;52001260199;2020-01-26;Rimantis;Damaševičius;38603150255;user20@user.lt;+37060000020;"Ilgiausia g. 20, Vilnius";;;;;;
Bolys;Pulkys;52001260209;2020-01-26;Galius;Jarošius;38603150233;user21@user.lt;+37060000021;"Ilgiausia g. 21, Vilnius";;;;;;
Rišardas;Buzėnas;52001260218;2020-01-26;Arymantas;Pernovas;38603150222;user22@user.lt;+37060000022;"Ilgiausia g. 22, Vilnius";;;;;;
Diodoras;Plešonis;52001260220;2020-01-26;Kantvilas;Ardauskas;38603150200;user23@user.lt;+37060000023;"Ilgiausia g. 23, Vilnius";;;;;;
Tedas;Piniukas;52001260231;2020-01-26;Vinantas;Diedonis;38603150299;user24@user.lt;+37060000024;"Ilgiausia g. 24, Vilnius";;;;;;
Julianas;Titušas;52001260242;2020-01-26;Platonas;Sieliava;38603150277;user25@user.lt;+37060000025;"Ilgiausia g. 25, Vilnius";;;;;;
Mažrimas;Pekša;52001260253;2020-01-26;Kipras;Polinauskas;38603150288;user26@user.lt;+37060000026;"Ilgiausia g. 26, Vilnius";;;;;;
Aduolius;Kildžisas;52001260264;2020-01-26;Marcelius;Bruneikis;38603150266;user27@user.lt;+37060000027;"Ilgiausia g. 27, Vilnius";;;;;;
Simeonas;Grilis;52001260275;2020-01-26;Laimius;Rudkevičius;38603150244;user28@user.lt;+37060000028;"Ilgiausia g. 28, Vilnius";;;;;;
Gedvidas;Nabažas;52001260286;2020-01-26;Iminas;Ščerbavičius;38603150211;user29@user.lt;+37060000029;"Ilgiausia g. 29, Vilnius";;;;;;
Venius;Tadarauskas;52001260297;2020-01-26;Gilvilė;Rolaitė;49404150363;user30@user.lt;+37060000030;"Ilgiausia g. 30, Vilnius";;;;;;
Emilas;Mamkaitis;52001260307;2020-01-26;Ladislava;Rabcevičaitė;49404150315;user31@user.lt;+37060000031;"Ilgiausia g. 31, Vilnius";;;;;;
Leinartas;Kasparavičius;52001260318;2020-01-26;Levonida;Mielutytė;49404150304;user32@user.lt;+37060000032;"Ilgiausia g. 32, Vilnius";;;;;;
Elmanas;Zalepūgas;52001260329;2020-01-26;Nadžija;Večkytė;49404150337;user33@user.lt;+37060000033;"Ilgiausia g. 33, Vilnius";;;;;;
Sandaras;Oškonis;52001260335;2020-01-26;Minte;Daminevskiūtė;49404150359;user34@user.lt;+37060000034;"Ilgiausia g. 34, Vilnius";;;;;;
Florentijus;Kyliavas;52001260340;2020-01-26;Almanė;Izėnaitė;49404150381;user35@user.lt;+37060000035;"Ilgiausia g. 35, Vilnius";;;;;;
Napoleonas;Bėta;52001260351;2020-01-26;Saugė;Tuntaitė;49404150348;user36@user.lt;+37060000036;"Ilgiausia g. 36, Vilnius";;;;;;
Vilmantas;Bylaitis;52001260362;2020-01-26;Jolanta;Cesiulytė;49404150392;user37@user.lt;+37060000037;"Ilgiausia g. 37, Vilnius";;;;;;
Eligius;Stačiokas;52001260373;2020-01-26;Samuela;Zienkaitė;49404150370;user38@user.lt;+37060000038;"Ilgiausia g. 38, Vilnius";;;;;;
Jevgenijus;Ropša;52001260384;2020-01-26;Milgintė;Krevaldaitė;49404150326;user39@user.lt;+37060000039;"Ilgiausia g. 39, Vilnius";;;;;;
Mečislov;Voldmanas;52001260395;2020-01-26;Alfonsas;Drinauskis;38605150417;user40@user.lt;+37060000040;"Ilgiausia g. 40, Vilnius";;;;;;
Eustafijus;Stulpius;52001260405;2020-01-26;Vytalijus;Pržialgauskas;38605150483;user41@user.lt;+37060000041;"Ilgiausia g. 41, Vilnius";;;;;;
Limantas;Teisingas;52001260416;2020-01-26;Galminas;Dygymas;38605150461;user42@user.lt;+37060000042;"Ilgiausia g. 42, Vilnius";;;;;;
Girvinas;Patūpa;52001260427;2020-01-26;Lauris;Pūpelis;38605150494;user43@user.lt;+37060000043;"Ilgiausia g. 43, Vilnius";;;;;;
Tauragis;Deičas;52001260438;2020-01-26;Radulfas;Grodeikis;38605150472;user44@user.lt;+37060000044;"Ilgiausia g. 44, Vilnius";;;;;;
Venantas;Bernadickas;52001260449;2020-01-26;Trifonas;Svila;38605150450;user45@user.lt;+37060000045;"Ilgiausia g. 45, Vilnius";;;;;;
Benis;Čečys;52001260452;2020-01-26;Gedeiminas;Kveselevičius;38605150406;user46@user.lt;+37060000046;"Ilgiausia g. 46, Vilnius";;;;;;
Kantautas;Akromavičius;52001260460;2020-01-26;Geitvydas;Zykus;38605150443;user47@user.lt;+37060000047;"Ilgiausia g. 47, Vilnius";;;;;;
Konradas;Kergė;52001260471;2020-01-26;Mečius;Navackas;38605150428;user48@user.lt;+37060000048;"Ilgiausia g. 48, Vilnius";;;;;;
Rimdaugas;Prendzelis;52001260482;2020-01-26;Eivis;Vapšys;38605150439;user49@user.lt;+37060000049;"Ilgiausia g. 49, Vilnius";;;;;;
Enėjas;Sandas;52001260493;2020-01-26;Zene;Kerbėlytė;49406150587;user50@user.lt;+37060000050;"Ilgiausia g. 50, Vilnius";;;;;;
Evijus;Miecevičius;52001260503;2020-01-26;Laisvida;Apčinskiūtė;49406150503;user51@user.lt;+37060000051;"Ilgiausia g. 51, Vilnius";;;;;;
Kaspar;Karsakas;52001260514;2020-01-26;Janislava;Kūlokytė;49406150598;user52@user.lt;+37060000052;"Ilgiausia g. 52, Vilnius";;;;;;
Dangirijus;Juškauskas;52001260525;2020-01-26;Verdženija;Skadiniūtė;49406150521;user53@user.lt;+37060000053;"Ilgiausia g. 53, Vilnius";;;;;;
Tauris;Scinskas;52001260536;2020-01-26;Bytautė;Četvergaitė;49406150576;user54@user.lt;+37060000054;"Ilgiausia g. 54, Vilnius";;;;;;
Jevgėnijus;Čėčys-kruškys;52001260547;2020-01-26;Tolminė;Liupševičytė;49406150554;user55@user.lt;+37060000055;"Ilgiausia g. 55, Vilnius";;;;;;
Nelis;Reveltis;52001260558;2020-01-26;Uljanija;Zalubaitė;49406150543;user56@user.lt;+37060000056;"Ilgiausia g. 56, Vilnius";;;;;;
Ligmantas;Parokas;52001260570;2020-01-26;Oktavija;Kirklys-masiokiūtė;49406150532;user57@user.lt;+37060000057;"Ilgiausia g. 57, Vilnius";;;;;;
Žadvydas;Kiškėnas;52001260569;2020-01-26;Jurgė;Ledytė;49406150565;user58@user.lt;+37060000058;"Ilgiausia g. 58, Vilnius";;;;;;
Izraelis;Vinča;52001260580;2020-01-26;Rufina;Norvaišiūtė;49406150510;user59@user.lt;+37060000059;"Ilgiausia g. 59, Vilnius";;;;;;
Mečis;Šlopšna;52001260591;2020-01-26;Rusnis;Nanevičius;38807150654;user60@user.lt;+37060000060;"Ilgiausia g. 60, Vilnius";;;;;;
Eigminas;Sudeikas;52001260601;2020-01-26;Girmintas;Liakerauskas;38807150687;user61@user.lt;+37060000061;"Ilgiausia g. 61, Vilnius";;;;;;
Kajetonas;Guščinas;52001260612;2020-01-26;Gitavtas;Brilinkevičius;38807150665;user62@user.lt;+37060000062;"Ilgiausia g. 62, Vilnius";;;;;;
Vygmantas;Jaigeris;52001260623;2020-01-26;Kornelis;Bloziukas;38807150698;user63@user.lt;+37060000063;"Ilgiausia g. 63, Vilnius";;;;;;
Vaidaras;Aleknius;52001260634;2020-01-26;Gaivis;Lukševičius;38807150643;user64@user.lt;+37060000064;"Ilgiausia g. 64, Vilnius";;;;;;
Gedartas;Šiltulis;52001260645;2020-01-26;Patrik;Spuris;38807150632;user65@user.lt;+37060000065;"Ilgiausia g. 65, Vilnius";;;;;;
Santaras;Gašpuitis;52001260656;2020-01-26;Polius;Marusevičius;38807150621;user66@user.lt;+37060000066;"Ilgiausia g. 66, Vilnius";;;;;;
Anijus;Sadūnas;52001260667;2020-01-26;Jorigis;Goreika;38807150602;user67@user.lt;+37060000067;"Ilgiausia g. 67, Vilnius";;;;;;
Zenas;Žagarius;52001260678;2020-01-26;Elbertas;Spudys;38807150676;user68@user.lt;+37060000068;"Ilgiausia g. 68, Vilnius";;;;;;
Arvinas;Brunaitis;52001260689;2020-01-26;Jonas;Grizickas;38807150610;user69@user.lt;+37060000069;"Ilgiausia g. 69, Vilnius";;;;;;
Jakūbas;Lansbergis;52001260697;2020-01-26;Adolaida;Zabalavičiūtė;49808150772;user70@user.lt;+37060000070;"Ilgiausia g. 70, Vilnius";;;;;;
Laimantas;Megelinskas;52001260704;2020-01-26;Juvencija;Terekas-malinaskytė;49808150769;user71@user.lt;+37060000071;"Ilgiausia g. 71, Vilnius";;;;;;
Meilius;Langeris;52001260710;2020-01-26;Sanga;Maziliauskaitė;49808150758;user72@user.lt;+37060000072;"Ilgiausia g. 72, Vilnius";;;;;;
Gertvydas;Skystimas;52001260721;2020-01-26;Gracija;Ušauskaitė;49808150747;user73@user.lt;+37060000073;"Ilgiausia g. 73, Vilnius";;;;;;
Arvids;Stušinskis;52001260732;2020-01-26;Laimantė;Palapaitė;49808150780;user74@user.lt;+37060000074;"Ilgiausia g. 74, Vilnius";;;;;;
Naglijus;Baravičius;52001260743;2020-01-26;Penelopė;Eiseniūtė;49808150714;user75@user.lt;+37060000075;"Ilgiausia g. 75, Vilnius";;;;;;
Auksius;Plytninkas;52001260754;2020-01-26;Eolelija;Žirliūtė;49808150791;user76@user.lt;+37060000076;"Ilgiausia g. 76, Vilnius";;;;;;
Butautas;Audinys;52001260765;2020-01-26;Deivydė;Sajinskiūtė;49808150725;user77@user.lt;+37060000077;"Ilgiausia g. 77, Vilnius";;;;;;
Meldas;Lekauzas;52001260776;2020-01-26;Genija;Paškevičiūtė;49808150736;user78@user.lt;+37060000078;"Ilgiausia g. 78, Vilnius";;;;;;
Geidas;Žardeckas;52001260787;2020-01-26;Adelia;Zviravičaitė;49808150703;user79@user.lt;+37060000079;"Ilgiausia g. 79, Vilnius";;;;;;
Žadvidas;Senkaitis;52001260798;2020-01-26;Mantvilas;Taseckas;38809150860;user80@user.lt;+37060000080;"Ilgiausia g. 80, Vilnius";;;;;;
Vidvydas;Cerkus;52001260808;2020-01-26;Naras;Dėdynas;38809150852;user81@user.lt;+37060000081;"Ilgiausia g. 81, Vilnius";;;;;;
Gendras;Imbrichšis;52001260819;2020-01-26;Alvis;Kavoliukas;38809150893;user82@user.lt;+37060000082;"Ilgiausia g. 82, Vilnius";;;;;;
Afonijus;Pulminskas;52001260821;2020-01-26;Alginas;Karlys;38809150849;user83@user.lt;+37060000083;"Ilgiausia g. 83, Vilnius";;;;;;
Virmantas;Margaitis;52001260830;2020-01-26;Vaidrimas;Budzinskas;38809150816;user84@user.lt;+37060000084;"Ilgiausia g. 84, Vilnius";;;;;;
Helius;Mėsonis;52001260841;2020-01-26;Gaudvydas;Vitkelis;38809150871;user85@user.lt;+37060000085;"Ilgiausia g. 85, Vilnius";;;;;;
Pranis;Čirbulys;52001260852;2020-01-26;Joviltas;Bildunkevičius;38809150838;user86@user.lt;+37060000086;"Ilgiausia g. 86, Vilnius";;;;;;
Salvinijus;Bronislauskas;52001260863;2020-01-26;Ildefons;Karlonis;38809150827;user87@user.lt;+37060000087;"Ilgiausia g. 87, Vilnius";;;;;;
Evtichijus;Simanynas;52001260874;2020-01-26;Jotvis;Smardakauskas;38809150882;user88@user.lt;+37060000088;"Ilgiausia g. 88, Vilnius";;;;;;
Vygimantas;Muškotas;52001260885;2020-01-26;Mečislavas;Šolkauskas;38809150805;user89@user.lt;+37060000089;"Ilgiausia g. 89, Vilnius";;;;;;
Radoslovas;Pilatauskas;52001260896;2020-01-26;Celestė;Zenteriūtė;49810150930;user90@user.lt;+37060000090;"Ilgiausia g. 90, Vilnius";;;;;;
Vintaras;Jauneika;52001260906;2020-01-26;Vylma;Ruškytė;49810150995;user91@user.lt;+37060000091;"Ilgiausia g. 91, Vilnius";;;;;;
Apolinaras;Grigis;52001260917;2020-01-26;Armilė;Pastalaitė;49810150984;user92@user.lt;+37060000092;"Ilgiausia g. 92, Vilnius";;;;;;
Vidiminas;Melichauskas;52001260928;2020-01-26;Irtė;Kiaulakiūtė;49810150951;user93@user.lt;+37060000093;"Ilgiausia g. 93, Vilnius";;;;;;
Alvirdas;Milkontas;52001260939;2020-01-26;Ilitija;Gruševskiūtė;49810150940;user94@user.lt;+37060000094;"Ilgiausia g. 94, Vilnius";;;;;;
Edmas;Ščesnavičius;52001260950;2020-01-26;Stefanija;Miliuševičaitė;49810150929;user95@user.lt;+37060000095;"Ilgiausia g. 95, Vilnius";;;;;;
Ignis;Karanauskas;52001260949;2020-01-26;Chonija;Andrešūniūtė;49810150962;user96@user.lt;+37060000096;"Ilgiausia g. 96, Vilnius";;;;;;
Kenetas;Angelis;52001260961;2020-01-26;Algimantė;Berkaitė;49810150907;user97@user.lt;+37060000097;"Ilgiausia g. 97, Vilnius";;;;;;
Denisijus;Freitelis;52001260972;2020-01-26;Domnikija;Ciganaitytė;49810150918;user98@user.lt;+37060000098;"Ilgiausia g. 98, Vilnius";;;;;;
Ramunis;Klebaris;52001260983;2020-01-26;Vingėla;Čeilydkytė;49810150973;user99@user.lt;+37060000099;"Ilgiausia g. 99, Vilnius";;;;;;
Emilijonas;Backūnas;52001260994;2020-01-26;Pijus;Atroška;38811151066;user100@user.lt;+37060000100;"Ilgiausia g. 100, Vilnius";;;;;;
Rudolfas;Liabrikas;52001261002;2020-01-26;Eigimantas;Jankaitis;38811151048;user101@user.lt;+37060000101;"Ilgiausia g. 101, Vilnius";;;;;;
Tumas;Dulėba;52001261010;2020-01-26;Laurent;Skaldinas;38811151037;user102@user.lt;+37060000102;"Ilgiausia g. 102, Vilnius";;;;;;
Vytalius;Ambrulis;52001261021;2020-01-26;Einius;Makauskas;38811151026;user103@user.lt;+37060000103;"Ilgiausia g. 103, Vilnius";;;;;;
Rinas;Škudkauskas;52001261032;2020-01-26;Genis;Strepeika;38811151004;user104@user.lt;+37060000104;"Ilgiausia g. 104, Vilnius";;;;;;
Skomantas;Dulkys;52001261043;2020-01-26;Vygis;Jaselionis;38811151015;user105@user.lt;+37060000105;"Ilgiausia g. 105, Vilnius";;;;;;
Joanis;Sčensnavičius;52001261054;2020-01-26;Rimbertas;Voičešonokas;38811151081;user106@user.lt;+37060000106;"Ilgiausia g. 106, Vilnius";;;;;;
Baltras;Ambroža;52001261065;2020-01-26;Augminas;Nikolskis;38811151059;user107@user.lt;+37060000107;"Ilgiausia g. 107, Vilnius";;;;;;
Robertas;Lindemanas;52001261076;2020-01-26;Emis;Baltrimas;38811151092;user108@user.lt;+37060000108;"Ilgiausia g. 108, Vilnius";;;;;;
Samuelas;Putys;52001261087;2020-01-26;Viktoras;Bautaitis;38811151070;user109@user.lt;+37060000109;"Ilgiausia g. 109, Vilnius";;;;;;
Rikantas;Janužas;52001261098;2020-01-26;Ida;Macinavičaitė;49812151119;user110@user.lt;+37060000110;"Ilgiausia g. 110, Vilnius";;;;;;
Eidimtas;Stopelis;52001261108;2020-01-26;Chabronija;Kalickytė;49812151196;user111@user.lt;+37060000111;"Ilgiausia g. 111, Vilnius";;;;;;
Laurentas;Kaleckas;52001261120;2020-01-26;Ksavera;Kurpavičytė;49812151185;user112@user.lt;+37060000112;"Ilgiausia g. 112, Vilnius";;;;;;
Jevsevijus;Taraila;52001261119;2020-01-26;Ala;Muntrimaitė;49812151163;user113@user.lt;+37060000113;"Ilgiausia g. 113, Vilnius";;;;;;
Tonis;Slavikauskas;52001261130;2020-01-26;Birutėlė;Šmeigauskaitė;49812151130;user114@user.lt;+37060000114;"Ilgiausia g. 114, Vilnius";;;;;;
Vidmantis;Raveikis;52001261141;2020-01-26;Juozapė;Grakovičaitė;49812151108;user115@user.lt;+37060000115;"Ilgiausia g. 115, Vilnius";;;;;;
Fortūnatas;Mačeikonis;52001261152;2020-01-26;Norgilė;Paresčiūtė;49812151141;user116@user.lt;+37060000116;"Ilgiausia g. 116, Vilnius";;;;;;
Izocijus;Krūmaitis;52001261163;2020-01-26;Virgailė;Tumiūtė;49812151126;user117@user.lt;+37060000117;"Ilgiausia g. 117, Vilnius";;;;;;
Napoleon;Lovčikas;52001261174;2020-01-26;Alvida;Brunytė;49812151174;user118@user.lt;+37060000118;"Ilgiausia g. 118, Vilnius";;;;;;
Eduartas;Čupila;52001261185;2020-01-26;Erna;Kubaitė;49812151152;user119@user.lt;+37060000119;"Ilgiausia g. 119, Vilnius";;;;;;
Laisvyda;Vieštautytė;61709260007;2017-09-26;Vidymantas;Riekašius;38601150093;user1@user.lt;+37060000001;"Ilgiausia g. 1, Vilnius";;;;;;
Gėma;Počiupytė;61709260018;2017-09-26;Gytautas;Vėlius;38601150016;user2@user.lt;+37060000002;"Ilgiausia g. 2, Vilnius";;;;;;
Ogidija;Putauskytė;61709260031;2017-09-26;Pilėnas;Subelis;38601150060;user3@user.lt;+37060000003;"Ilgiausia g. 3, Vilnius";;;;;;
Jepistinija;Mikantavičytė;61709260040;2017-09-26;Vaigydas;Žaudzevičius;38601150038;user4@user.lt;+37060000004;"Ilgiausia g. 4, Vilnius";;;;;;
Jefrosenija;Leiziūtė;61709260084;2017-09-26;Milgedas;Jakubielskas;38601150049;user5@user.lt;+37060000005;"Ilgiausia g. 5, Vilnius";;;;;;
Orentija;Ausenytė;61709260095;2017-09-26;Ignnatijus;Būtvilas;38601150005;user6@user.lt;+37060000006;"Ilgiausia g. 6, Vilnius";;;;;;
Gendrūda;Arlauskiūtė;61709260062;2017-09-26;Lengvinas;Vaišnoris;38601150053;user7@user.lt;+37060000007;"Ilgiausia g. 7, Vilnius";;;;;;
Veridiana;Paliūšiūtė;61709260073;2017-09-26;Getautas;Bloškys;38601150027;user8@user.lt;+37060000008;"Ilgiausia g. 8, Vilnius";;;;;;
Vilnija;Loliūtė;61709260051;2017-09-26;Voldis;Daukantis;38601150071;user9@user.lt;+37060000009;"Ilgiausia g. 9, Vilnius";;;;;;
Daugilė;Pajerskytė;61709260029;2017-09-26;Varonika;Žitinskytė;49402150113;user10@user.lt;+37060000010;"Ilgiausia g. 10, Vilnius";;;;;;
Ovilija;Kapačiūnaitė;61709260105;2017-09-26;Balanda;Gazevičytė;49402150120;user11@user.lt;+37060000011;"Ilgiausia g. 11, Vilnius";;;;;;
Teofilija;Lulisytė;61709260116;2017-09-26;Zigfrida;Gecaitė;49402150131;user12@user.lt;+37060000012;"Ilgiausia g. 12, Vilnius";;;;;;
Prančiška;Telejūniūtė;61709260127;2017-09-26;Dija;Kmiliauskaitė;49402150109;user13@user.lt;+37060000013;"Ilgiausia g. 13, Vilnius";;;;;;
Vladė;Stričaitė;61709260138;2017-09-26;Vince;Paraknavičytė;49402150175;user14@user.lt;+37060000014;"Ilgiausia g. 14, Vilnius";;;;;;
Kaya;Koveraitė;61709260149;2017-09-26;Jautrė;Norvilovytė;49402150186;user15@user.lt;+37060000015;"Ilgiausia g. 15, Vilnius";;;;;;
Norgailė;Goscevičiūtė;61709260159;2017-09-26;Terėsė;Kratavičaitė;49402150153;user16@user.lt;+37060000016;"Ilgiausia g. 16, Vilnius";;;;;;
Norvida;Ikasalytė;61709260160;2017-09-26;Jurgita;Čiegiūtė;49402150142;user17@user.lt;+37060000017;"Ilgiausia g. 17, Vilnius";;;;;;
Dautarė;Ambrazaitė;61709260171;2017-09-26;Gertruda;Pipeniūtė;49402150164;user18@user.lt;+37060000018;"Ilgiausia g. 18, Vilnius";;;;;;
Ilzė;Pulkausnikiūtė;61709260182;2017-09-26;Arvina;Aniukevičiūtė;49402150197;user19@user.lt;+37060000019;"Ilgiausia g. 19, Vilnius";;;;;;
Afimija;Mužikauskaitė;61709260193;2017-09-26;Rimantis;Damaševičius;38603150255;user20@user.lt;+37060000020;"Ilgiausia g. 20, Vilnius";;;;;;
Karigailė;Ažalionaitė;61709260214;2017-09-26;Galius;Jarošius;38603150233;user21@user.lt;+37060000021;"Ilgiausia g. 21, Vilnius";;;;;;
Bona;Sabeikiūtė;61709260225;2017-09-26;Arymantas;Pernovas;38603150222;user22@user.lt;+37060000022;"Ilgiausia g. 22, Vilnius";;;;;;
Augmilė;Mazalauskaitė;61709260236;2017-09-26;Kantvilas;Ardauskas;38603150200;user23@user.lt;+37060000023;"Ilgiausia g. 23, Vilnius";;;;;;
Emiilija;Ledauskytė;61709260247;2017-09-26;Vinantas;Diedonis;38603150299;user24@user.lt;+37060000024;"Ilgiausia g. 24, Vilnius";;;;;;
Upyna;Dakniūtė;61709260280;2017-09-26;Platonas;Sieliava;38603150277;user25@user.lt;+37060000025;"Ilgiausia g. 25, Vilnius";;;;;;
Dane;Bičiūtė;61709260291;2017-09-26;Kipras;Polinauskas;38603150288;user26@user.lt;+37060000026;"Ilgiausia g. 26, Vilnius";;;;;;
Violeta;Štrumkaitė;61709260258;2017-09-26;Marcelius;Bruneikis;38603150266;user27@user.lt;+37060000027;"Ilgiausia g. 27, Vilnius";;;;;;
Lenė;Šukštulytė;61709260269;2017-09-26;Laimius;Rudkevičius;38603150244;user28@user.lt;+37060000028;"Ilgiausia g. 28, Vilnius";;;;;;
Lukėrija;Tarailiūtė;61709260276;2017-09-26;Iminas;Ščerbavičius;38603150211;user29@user.lt;+37060000029;"Ilgiausia g. 29, Vilnius";;;;;;
Narimanta;Grygytė;61709260203;2017-09-26;Gilvilė;Rolaitė;49404150363;user30@user.lt;+37060000030;"Ilgiausia g. 30, Vilnius";;;;;;
