0 c.name;1 surname;2 c.ak;3 c.birthdate;4 p.name;5 p.surname;6 p.ak;7 p.email;8 p.phone;9 k.name;10 k.code;11 k.phone;12 k.email;13 k.account;14 k.address;15 p.address;16 k.bankName;17 k.bankCode
Gilvilė;Zenteriūtė;61910150930;2019-10-15;Celestė;Zenteriūtė;49810150930;user90@user.lt;+37060000090;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 90, Vilnius";Pinigų Pieninė;PNGPNN66
Ladislava;Ruškytė;61910150995;2019-10-15;Vylma;Ruškytė;49810150995;user91@user.lt;+37060000091;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 91, Vilnius";Pinigų Pieninė;PNGPNN66
Levonida;Pastalaitė;61910150984;2019-10-15;Armilė;Pastalaitė;49810150984;user92@user.lt;+37060000092;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 92, Vilnius";Pinigų Pieninė;PNGPNN66
Nadžija;Kiaulakiūtė;61910150951;2019-10-15;Irtė;Kiaulakiūtė;49810150951;user93@user.lt;+37060000093;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 93, Vilnius";Pinigų Pieninė;PNGPNN66
Minte;Gruševskiūtė;61910150940;2019-10-15;Ilitija;Gruševskiūtė;49810150940;user94@user.lt;+37060000094;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 94, Vilnius";Pinigų Pieninė;PNGPNN66
Almanė;Miliuševičaitė;61910150929;2019-10-15;Stefanija;Miliuševičaitė;49810150929;user95@user.lt;+37060000095;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 95, Vilnius";Pinigų Pieninė;PNGPNN66
Saugė;Andrešūniūtė;61910150962;2019-10-15;Chonija;Andrešūniūtė;49810150962;user96@user.lt;+37060000096;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 96, Vilnius";Pinigų Pieninė;PNGPNN66
Jolanta;Berkaitė;61910150907;2019-10-15;Algimantė;Berkaitė;49810150907;user97@user.lt;+37060000097;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 97, Vilnius";Pinigų Pieninė;PNGPNN66
Samuela;Ciganaitytė;61910150918;2019-10-15;Domnikija;Ciganaitytė;49810150918;user98@user.lt;+37060000098;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 98, Vilnius";Pinigų Pieninė;PNGPNN66
Milgintė;Čeilydkytė;61910150973;2019-10-15;Vingėla;Čeilydkytė;49810150973;user99@user.lt;+37060000099;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 99, Vilnius";Pinigų Pieninė;PNGPNN66
Alfonsas;Atroška;51911151066;2019-11-15;Pijus;Atroška;38811151066;user100@user.lt;+37060000100;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 100, Vilnius";Pinigų Pieninė;PNGPNN66
Vytalijus;Jankaitis;51911151048;2019-11-15;Eigimantas;Jankaitis;38811151048;user101@user.lt;+37060000101;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 101, Vilnius";Pinigų Pieninė;PNGPNN66
Galminas;Skaldinas;51911151037;2019-11-15;Laurent;Skaldinas;38811151037;user102@user.lt;+37060000102;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 102, Vilnius";Pinigų Pieninė;PNGPNN66
Lauris;Makauskas;51911151026;2019-11-15;Einius;Makauskas;38811151026;user103@user.lt;+37060000103;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 103, Vilnius";Pinigų Pieninė;PNGPNN66
Radulfas;Strepeika;51911151004;2019-11-15;Genis;Strepeika;38811151004;user104@user.lt;+37060000104;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 104, Vilnius";Pinigų Pieninė;PNGPNN66
Trifonas;Jaselionis;51911151015;2019-11-15;Vygis;Jaselionis;38811151015;user105@user.lt;+37060000105;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 105, Vilnius";Pinigų Pieninė;PNGPNN66
Gedeiminas;Voičešonokas;51911151081;2019-11-15;Rimbertas;Voičešonokas;38811151081;user106@user.lt;+37060000106;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 106, Vilnius";Pinigų Pieninė;PNGPNN66
Geitvydas;Nikolskis;51911151059;2019-11-15;Augminas;Nikolskis;38811151059;user107@user.lt;+37060000107;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 107, Vilnius";Pinigų Pieninė;PNGPNN66
Mečius;Baltrimas;51911151092;2019-11-15;Emis;Baltrimas;38811151092;user108@user.lt;+37060000108;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 108, Vilnius";Pinigų Pieninė;PNGPNN66
Eivis;Bautaitis;51911151070;2019-11-15;Viktoras;Bautaitis;38811151070;user109@user.lt;+37060000109;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 109, Vilnius";Pinigų Pieninė;PNGPNN66
Zene;Macinavičaitė;61912151119;2019-12-15;Ida;Macinavičaitė;49812151119;user110@user.lt;+37060000110;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 110, Vilnius";Pinigų Pieninė;PNGPNN66
Laisvida;Kalickytė;61912151196;2019-12-15;Chabronija;Kalickytė;49812151196;user111@user.lt;+37060000111;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 111, Vilnius";Pinigų Pieninė;PNGPNN66
Janislava;Kurpavičytė;61912151185;2019-12-15;Ksavera;Kurpavičytė;49812151185;user112@user.lt;+37060000112;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 112, Vilnius";Pinigų Pieninė;PNGPNN66
Verdženija;Muntrimaitė;61912151163;2019-12-15;Ala;Muntrimaitė;49812151163;user113@user.lt;+37060000113;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 113, Vilnius";Pinigų Pieninė;PNGPNN66
Bytautė;Šmeigauskaitė;61912151130;2019-12-15;Birutėlė;Šmeigauskaitė;49812151130;user114@user.lt;+37060000114;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 114, Vilnius";Pinigų Pieninė;PNGPNN66
Tolminė;Grakovičaitė;61912151108;2019-12-15;Juozapė;Grakovičaitė;49812151108;user115@user.lt;+37060000115;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 115, Vilnius";Pinigų Pieninė;PNGPNN66
Uljanija;Paresčiūtė;61912151141;2019-12-15;Norgilė;Paresčiūtė;49812151141;user116@user.lt;+37060000116;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 116, Vilnius";Pinigų Pieninė;PNGPNN66
Oktavija;Tumiūtė;61912151126;2019-12-15;Virgailė;Tumiūtė;49812151126;user117@user.lt;+37060000117;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 117, Vilnius";Pinigų Pieninė;PNGPNN66
Jurgė;Brunytė;61912151174;2019-12-15;Alvida;Brunytė;49812151174;user118@user.lt;+37060000118;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 118, Vilnius";Pinigų Pieninė;PNGPNN66
Rufina;Kubaitė;61912151152;2019-12-15;Erna;Kubaitė;49812151152;user119@user.lt;+37060000119;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 119, Vilnius";Pinigų Pieninė;PNGPNN66
Laisvyda;Vieštautytė;61709260007;2017-09-26;Vidymantas;Riekašius;38601150093;user1@user.lt;+37060000001;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 1, Vilnius";Pinigų Pieninė;PNGPNN66
Gėma;Počiupytė;61709260018;2017-09-26;Gytautas;Vėlius;38601150016;user2@user.lt;+37060000002;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 2, Vilnius";Pinigų Pieninė;PNGPNN66
Ogidija;Putauskytė;61709260031;2017-09-26;Pilėnas;Subelis;38601150060;user3@user.lt;+37060000003;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 3, Vilnius";Pinigų Pieninė;PNGPNN66
Jepistinija;Mikantavičytė;61709260040;2017-09-26;Vaigydas;Žaudzevičius;38601150038;user4@user.lt;+37060000004;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 4, Vilnius";Pinigų Pieninė;PNGPNN66
Jefrosenija;Leiziūtė;61709260084;2017-09-26;Milgedas;Jakubielskas;38601150049;user5@user.lt;+37060000005;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 5, Vilnius";Pinigų Pieninė;PNGPNN66
Orentija;Ausenytė;61709260095;2017-09-26;Ignnatijus;Būtvilas;38601150005;user6@user.lt;+37060000006;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 6, Vilnius";Pinigų Pieninė;PNGPNN66
Gendrūda;Arlauskiūtė;61709260062;2017-09-26;Lengvinas;Vaišnoris;38601150053;user7@user.lt;+37060000007;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 7, Vilnius";Pinigų Pieninė;PNGPNN66
Veridiana;Paliūšiūtė;61709260073;2017-09-26;Getautas;Bloškys;38601150027;user8@user.lt;+37060000008;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 8, Vilnius";Pinigų Pieninė;PNGPNN66
Vilnija;Loliūtė;61709260051;2017-09-26;Voldis;Daukantis;38601150071;user9@user.lt;+37060000009;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 9, Vilnius";Pinigų Pieninė;PNGPNN66
Daugilė;Pajerskytė;61709260029;2017-09-26;Varonika;Žitinskytė;49402150113;user10@user.lt;+37060000010;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 10, Vilnius";Pinigų Pieninė;PNGPNN66
Ovilija;Kapačiūnaitė;61709260105;2017-09-26;Balanda;Gazevičytė;49402150120;user11@user.lt;+37060000011;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 11, Vilnius";Pinigų Pieninė;PNGPNN66
Teofilija;Lulisytė;61709260116;2017-09-26;Zigfrida;Gecaitė;49402150131;user12@user.lt;+37060000012;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 12, Vilnius";Pinigų Pieninė;PNGPNN66
Prančiška;Telejūniūtė;61709260127;2017-09-26;Dija;Kmiliauskaitė;49402150109;user13@user.lt;+37060000013;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 13, Vilnius";Pinigų Pieninė;PNGPNN66
Vladė;Stričaitė;61709260138;2017-09-26;Vince;Paraknavičytė;49402150175;user14@user.lt;+37060000014;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 14, Vilnius";Pinigų Pieninė;PNGPNN66
Kaya;Koveraitė;61709260149;2017-09-26;Jautrė;Norvilovytė;49402150186;user15@user.lt;+37060000015;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 15, Vilnius";Pinigų Pieninė;PNGPNN66
Norgailė;Goscevičiūtė;61709260159;2017-09-26;Terėsė;Kratavičaitė;49402150153;user16@user.lt;+37060000016;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 16, Vilnius";Pinigų Pieninė;PNGPNN66
Norvida;Ikasalytė;61709260160;2017-09-26;Jurgita;Čiegiūtė;49402150142;user17@user.lt;+37060000017;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 17, Vilnius";Pinigų Pieninė;PNGPNN66
Dautarė;Ambrazaitė;61709260171;2017-09-26;Gertruda;Pipeniūtė;49402150164;user18@user.lt;+37060000018;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 18, Vilnius";Pinigų Pieninė;PNGPNN66
Ilzė;Pulkausnikiūtė;61709260182;2017-09-26;Arvina;Aniukevičiūtė;49402150197;user19@user.lt;+37060000019;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 19, Vilnius";Pinigų Pieninė;PNGPNN66
Afimija;Mužikauskaitė;61709260193;2017-09-26;Rimantis;Damaševičius;38603150255;user20@user.lt;+37060000020;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 20, Vilnius";Pinigų Pieninė;PNGPNN66
Karigailė;Ažalionaitė;61709260214;2017-09-26;Galius;Jarošius;38603150233;user21@user.lt;+37060000021;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 21, Vilnius";Pinigų Pieninė;PNGPNN66
Bona;Sabeikiūtė;61709260225;2017-09-26;Arymantas;Pernovas;38603150222;user22@user.lt;+37060000022;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 22, Vilnius";Pinigų Pieninė;PNGPNN66
Augmilė;Mazalauskaitė;61709260236;2017-09-26;Kantvilas;Ardauskas;38603150200;user23@user.lt;+37060000023;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 23, Vilnius";Pinigų Pieninė;PNGPNN66
Emiilija;Ledauskytė;61709260247;2017-09-26;Vinantas;Diedonis;38603150299;user24@user.lt;+37060000024;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 24, Vilnius";Pinigų Pieninė;PNGPNN66
Upyna;Dakniūtė;61709260280;2017-09-26;Platonas;Sieliava;38603150277;user25@user.lt;+37060000025;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 25, Vilnius";Pinigų Pieninė;PNGPNN66
Dane;Bičiūtė;61709260291;2017-09-26;Kipras;Polinauskas;38603150288;user26@user.lt;+37060000026;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 26, Vilnius";Pinigų Pieninė;PNGPNN66
Violeta;Štrumkaitė;61709260258;2017-09-26;Marcelius;Bruneikis;38603150266;user27@user.lt;+37060000027;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 27, Vilnius";Pinigų Pieninė;PNGPNN66
Lenė;Šukštulytė;61709260269;2017-09-26;Laimius;Rudkevičius;38603150244;user28@user.lt;+37060000028;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 28, Vilnius";Pinigų Pieninė;PNGPNN66
Lukėrija;Tarailiūtė;61709260276;2017-09-26;Iminas;Ščerbavičius;38603150211;user29@user.lt;+37060000029;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 29, Vilnius";Pinigų Pieninė;PNGPNN66
Narimanta;Grygytė;61709260203;2017-09-26;Gilvilė;Rolaitė;49404150363;user30@user.lt;+37060000030;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 30, Vilnius";Pinigų Pieninė;PNGPNN66
Ekvilija;Duseikytė;61709260301;2017-09-26;Ladislava;Rabcevičaitė;49404150315;user31@user.lt;+37060000031;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 31, Vilnius";Pinigų Pieninė;PNGPNN66
Venancija;Vavžinavičytė;61709260312;2017-09-26;Levonida;Mielutytė;49404150304;user32@user.lt;+37060000032;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 32, Vilnius";Pinigų Pieninė;PNGPNN66
Marijona;Kuodžaitė;61709260323;2017-09-26;Nadžija;Večkytė;49404150337;user33@user.lt;+37060000033;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 33, Vilnius";Pinigų Pieninė;PNGPNN66
Judrė;Šuflaitė;61709260334;2017-09-26;Minte;Daminevskiūtė;49404150359;user34@user.lt;+37060000034;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 34, Vilnius";Pinigų Pieninė;PNGPNN66
Ginvyda;Kovaliukiūtė;61709260345;2017-09-26;Almanė;Izėnaitė;49404150381;user35@user.lt;+37060000035;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 35, Vilnius";Pinigų Pieninė;PNGPNN66
Magdelena;Kasiulevičiūtė;61709260356;2017-09-26;Saugė;Tuntaitė;49404150348;user36@user.lt;+37060000036;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 36, Vilnius";Pinigų Pieninė;PNGPNN66
Laiminta;Biržiūtė;61709260367;2017-09-26;Jolanta;Cesiulytė;49404150392;user37@user.lt;+37060000037;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 37, Vilnius";Pinigų Pieninė;PNGPNN66
Sindija;Brockiūtė;61709260393;2017-09-26;Samuela;Zienkaitė;49404150370;user38@user.lt;+37060000038;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 38, Vilnius";Pinigų Pieninė;PNGPNN66
Afemija;Stavytė;61709260389;2017-09-26;Milgintė;Krevaldaitė;49404150326;user39@user.lt;+37060000039;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 39, Vilnius";Pinigų Pieninė;PNGPNN66
Gedimina;Greblauskiūtė;61709260378;2017-09-26;Alfonsas;Drinauskis;38605150417;user40@user.lt;+37060000040;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 40, Vilnius";Pinigų Pieninė;PNGPNN66
Irėna;Matiekaitaitė;61709260400;2017-09-26;Vytalijus;Pržialgauskas;38605150483;user41@user.lt;+37060000041;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 41, Vilnius";Pinigų Pieninė;PNGPNN66
Gytė;Lišauskytė;61709260410;2017-09-26;Galminas;Dygymas;38605150461;user42@user.lt;+37060000042;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 42, Vilnius";Pinigų Pieninė;PNGPNN66
Daumantė;Ožkeliūtė;61709260421;2017-09-26;Lauris;Pūpelis;38605150494;user43@user.lt;+37060000043;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 43, Vilnius";Pinigų Pieninė;PNGPNN66
Žintautė;Kašlaitė;61709260432;2017-09-26;Radulfas;Grodeikis;38605150472;user44@user.lt;+37060000044;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 44, Vilnius";Pinigų Pieninė;PNGPNN66
Iulija;Skrebaitė;61709260443;2017-09-26;Trifonas;Svila;38605150450;user45@user.lt;+37060000045;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 45, Vilnius";Pinigų Pieninė;PNGPNN66
Epraksija;Knizikevičiūtė;61709260454;2017-09-26;Gedeiminas;Kveselevičius;38605150406;user46@user.lt;+37060000046;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 46, Vilnius";Pinigų Pieninė;PNGPNN66
Scholė;Jurgevičytė;61709260465;2017-09-26;Geitvydas;Zykus;38605150443;user47@user.lt;+37060000047;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 47, Vilnius";Pinigų Pieninė;PNGPNN66
Polė;Kralėdaitė;61709260476;2017-09-26;Mečius;Navackas;38605150428;user48@user.lt;+37060000048;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 48, Vilnius";Pinigų Pieninė;PNGPNN66
Viltis;Kongelaitė;61709260498;2017-09-26;Eivis;Vapšys;38605150439;user49@user.lt;+37060000049;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 49, Vilnius";Pinigų Pieninė;PNGPNN66
Liongina;Aleksejiūtė;61709260487;2017-09-26;Zene;Kerbėlytė;49406150587;user50@user.lt;+37060000050;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 50, Vilnius";Pinigų Pieninė;PNGPNN66
Ramvydė;Valenčiūtė;61709260508;2017-09-26;Laisvida;Apčinskiūtė;49406150503;user51@user.lt;+37060000051;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 51, Vilnius";Pinigų Pieninė;PNGPNN66
Elvija;Maženiūtė;61709260596;2017-09-26;Janislava;Kūlokytė;49406150598;user52@user.lt;+37060000052;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 52, Vilnius";Pinigų Pieninė;PNGPNN66
Aiginta;Zemitytė;61709260519;2017-09-26;Verdženija;Skadiniūtė;49406150521;user53@user.lt;+37060000053;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 53, Vilnius";Pinigų Pieninė;PNGPNN66
Gena;Urbanskiūtė;61709260528;2017-09-26;Bytautė;Četvergaitė;49406150576;user54@user.lt;+37060000054;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 54, Vilnius";Pinigų Pieninė;PNGPNN66
Minvydė;Barzdukytė;61709260530;2017-09-26;Tolminė;Liupševičytė;49406150554;user55@user.lt;+37060000055;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 55, Vilnius";Pinigų Pieninė;PNGPNN66
Darata;Šepelevskytė;61709260541;2017-09-26;Uljanija;Zalubaitė;49406150543;user56@user.lt;+37060000056;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 56, Vilnius";Pinigų Pieninė;PNGPNN66
Gaudrimė;Balutaitė;61709260552;2017-09-26;Oktavija;Kirklys-masiokiūtė;49406150532;user57@user.lt;+37060000057;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 57, Vilnius";Pinigų Pieninė;PNGPNN66
Tesė;Zakarevičaitė;61709260563;2017-09-26;Jurgė;Ledytė;49406150565;user58@user.lt;+37060000058;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 58, Vilnius";Pinigų Pieninė;PNGPNN66
Dainora;Didorytė;61709260574;2017-09-26;Rufina;Norvaišiūtė;49406150510;user59@user.lt;+37060000059;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 59, Vilnius";Pinigų Pieninė;PNGPNN66
Algvina;Liegiūtė;61709260585;2017-09-26;Rusnis;Nanevičius;38807150654;user60@user.lt;+37060000060;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 60, Vilnius";Pinigų Pieninė;PNGPNN66
